[T] Epoch [0/29] | [0/500] TRAINING loss : 2.2996 TRAINING accuracy : 0.1300
[V] Epoch [0/29] | [0/500] Test loss : 2.3149 Test accuracy : 0.1015 VAL RMSE : 25.391
[T] Epoch [0/29] | [1/500] TRAINING loss : 2.3234 TRAINING accuracy : 0.1000
[T] Epoch [0/29] | [2/500] TRAINING loss : 2.2989 TRAINING accuracy : 0.1100
[T] Epoch [0/29] | [3/500] TRAINING loss : 2.2926 TRAINING accuracy : 0.1400
[T] Epoch [0/29] | [4/500] TRAINING loss : 2.2972 TRAINING accuracy : 0.1400
[T] Epoch [0/29] | [5/500] TRAINING loss : 2.3011 TRAINING accuracy : 0.1000
[T] Epoch [0/29] | [6/500] TRAINING loss : 2.2634 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [7/500] TRAINING loss : 2.2788 TRAINING accuracy : 0.1700
[T] Epoch [0/29] | [8/500] TRAINING loss : 2.3150 TRAINING accuracy : 0.0700
[T] Epoch [0/29] | [9/500] TRAINING loss : 2.3073 TRAINING accuracy : 0.1200
[T] Epoch [0/29] | [10/500] TRAINING loss : 2.2900 TRAINING accuracy : 0.1100
[T] Epoch [0/29] | [11/500] TRAINING loss : 2.3157 TRAINING accuracy : 0.0900
[T] Epoch [0/29] | [12/500] TRAINING loss : 2.2752 TRAINING accuracy : 0.1600
[T] Epoch [0/29] | [13/500] TRAINING loss : 2.2555 TRAINING accuracy : 0.1600
[T] Epoch [0/29] | [14/500] TRAINING loss : 2.2912 TRAINING accuracy : 0.1500
[T] Epoch [0/29] | [15/500] TRAINING loss : 2.2944 TRAINING accuracy : 0.1100
[T] Epoch [0/29] | [16/500] TRAINING loss : 2.2852 TRAINING accuracy : 0.1800
[T] Epoch [0/29] | [17/500] TRAINING loss : 2.2802 TRAINING accuracy : 0.1400
[T] Epoch [0/29] | [18/500] TRAINING loss : 2.2721 TRAINING accuracy : 0.1600
[T] Epoch [0/29] | [19/500] TRAINING loss : 2.2861 TRAINING accuracy : 0.1500
[T] Epoch [0/29] | [20/500] TRAINING loss : 2.2682 TRAINING accuracy : 0.1500
[T] Epoch [0/29] | [21/500] TRAINING loss : 2.2692 TRAINING accuracy : 0.1400
[T] Epoch [0/29] | [22/500] TRAINING loss : 2.2497 TRAINING accuracy : 0.2100
[T] Epoch [0/29] | [23/500] TRAINING loss : 2.2742 TRAINING accuracy : 0.1900
[T] Epoch [0/29] | [24/500] TRAINING loss : 2.2791 TRAINING accuracy : 0.1600
[T] Epoch [0/29] | [25/500] TRAINING loss : 2.2703 TRAINING accuracy : 0.1800
[T] Epoch [0/29] | [26/500] TRAINING loss : 2.2703 TRAINING accuracy : 0.1800
[T] Epoch [0/29] | [27/500] TRAINING loss : 2.2556 TRAINING accuracy : 0.1700
[T] Epoch [0/29] | [28/500] TRAINING loss : 2.2259 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [29/500] TRAINING loss : 2.2261 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [30/500] TRAINING loss : 2.2502 TRAINING accuracy : 0.2000
[T] Epoch [0/29] | [31/500] TRAINING loss : 2.2413 TRAINING accuracy : 0.1700
[T] Epoch [0/29] | [32/500] TRAINING loss : 2.2140 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [33/500] TRAINING loss : 2.2651 TRAINING accuracy : 0.2200
[T] Epoch [0/29] | [34/500] TRAINING loss : 2.2739 TRAINING accuracy : 0.1900
[T] Epoch [0/29] | [35/500] TRAINING loss : 2.2934 TRAINING accuracy : 0.1200
[T] Epoch [0/29] | [36/500] TRAINING loss : 2.2507 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [37/500] TRAINING loss : 2.2026 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [38/500] TRAINING loss : 2.2973 TRAINING accuracy : 0.1600
[T] Epoch [0/29] | [39/500] TRAINING loss : 2.2710 TRAINING accuracy : 0.1600
[T] Epoch [0/29] | [40/500] TRAINING loss : 2.2311 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [41/500] TRAINING loss : 2.2509 TRAINING accuracy : 0.1900
[T] Epoch [0/29] | [42/500] TRAINING loss : 2.2129 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [43/500] TRAINING loss : 2.2139 TRAINING accuracy : 0.2500
[T] Epoch [0/29] | [44/500] TRAINING loss : 2.1596 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [45/500] TRAINING loss : 2.2290 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [46/500] TRAINING loss : 2.2389 TRAINING accuracy : 0.2200
[T] Epoch [0/29] | [47/500] TRAINING loss : 2.2577 TRAINING accuracy : 0.2000
[T] Epoch [0/29] | [48/500] TRAINING loss : 2.2560 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [49/500] TRAINING loss : 2.2396 TRAINING accuracy : 0.2100
[T] Epoch [0/29] | [50/500] TRAINING loss : 2.1802 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [51/500] TRAINING loss : 2.2527 TRAINING accuracy : 0.1900
[T] Epoch [0/29] | [52/500] TRAINING loss : 2.1851 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [53/500] TRAINING loss : 2.2506 TRAINING accuracy : 0.2000
